Solyc09g089530.3	GO:0050660
Solyc06g024230.1	GO:0016021; GO:0022857; GO:0055085
Solyc02g089950.2	GO:0003677
Solyc02g080260.3	GO:0004601; GO:0006979; GO:0020037; GO:0055114
Solyc07g063940.2	GO:0003824; GO:0008152
Solyc09g075350.3	GO:0004252; GO:0006508
Solyc01g096260.3	GO:0003677
Solyc09g075750.1	GO:0005975; GO:0030246
Solyc09g075400.3	GO:0004252; GO:0006508
Solyc03g044085.1	GO:0004672; GO:0006468
Solyc02g084910.3	GO:0004386
Solyc08g077230.3	GO:0004497; GO:0005506; GO:0016705; GO:0020037; GO:0055114
Solyc04g014650.3	GO:0006952; GO:0009607
Solyc05g013210.3	GO:0003676
Solyc07g007250.3	GO:0004672; GO:0005524; GO:0006468
Solyc02g079180.1	GO:0005515
Solyc02g087880.3	GO:0003676; GO:0005524; GO:0008026
Solyc11g073260.2	GO:0004672; GO:0006468
Solyc00g071180.3	GO:0003676
Solyc09g009220.3	GO:0005515
Solyc09g084450.3	GO:0004367; GO:0006072; GO:0009331; GO:0055114
Solyc07g054430.3	GO:0046912
Solyc02g092590.3	GO:0004672; GO:0005524; GO:0006468
Solyc07g062980.3	GO:0004650; GO:0005975
Solyc09g083380.3	GO:0046872
Solyc02g072540.3	GO:0016747
Solyc06g007610.2	GO:0004842
Solyc07g056650.3	GO:0004672; GO:0005524; GO:0006468
Solyc01g111310.3	GO:0004177; GO:0005737; GO:0008235; GO:0019538; GO:0030145
Solyc12g007160.2	GO:0005515; GO:0008270
Solyc07g043050.1	GO:0003824
Solyc03g122190.3	GO:0004672; GO:0005524; GO:0006468
Solyc02g081270.3	GO:0004672; GO:0006468
Solyc04g074740.3	GO:0003700; GO:0006355
Solyc07g056460.3	GO:0000786; GO:0003677
Solyc01g098740.3	GO:0005524; GO:0016020; GO:0017038
Solyc01g110580.2	GO:0003677; GO:0046983
Solyc03g098780.2	GO:0016491; GO:0046872; GO:0055114
Solyc07g063970.3	GO:0003700; GO:0006355; GO:0043565
Solyc09g010850.3	GO:0005525
Solyc11g020960.2	GO:0008270
Solyc07g063930.3	GO:0005506; GO:0016226; GO:0051536
Solyc12g010960.2	GO:0005515
Solyc08g014080.3	GO:0004190; GO:0006508
Solyc02g072140.1	GO:0005515
Solyc04g071400.3	GO:0004525; GO:0006396
Solyc07g065210.3	GO:0005515
Solyc01g109460.3	GO:0003700; GO:0005634
Solyc05g008300.2	GO:0004222; GO:0006508; GO:0016020
Solyc09g074300.1	GO:0003677; GO:0003700; GO:0006352; GO:0006355; GO:0016987
Solyc02g083890.3	GO:0005515
Solyc11g016970.2	GO:0006813
Solyc10g007107.1	GO:0003723; GO:0005515
Solyc02g078850.1	GO:0006812; GO:0008324; GO:0016021; GO:0055085
Solyc12g005940.2	GO:0003676; GO:0005524; GO:0008026
Solyc02g068600.3	GO:0016620; GO:0051287; GO:0055114
Solyc03g098790.3	GO:0016491; GO:0055114
Solyc02g070280.3	GO:0005507; GO:0016491; GO:0055114
Solyc12g005680.3	GO:0005515
Solyc04g078940.3	GO:0005524; GO:0009507
Solyc10g055200.1	GO:0031072; GO:0051082
Solyc01g066760.2	GO:0003735; GO:0005622; GO:0005840; GO:0006412
Solyc10g052500.2	GO:0008270
Solyc09g061840.3	GO:0003824
Solyc11g073020.2	GO:0003677
Solyc07g064590.3	GO:0003676; GO:0005524
Solyc12g008510.2	GO:0005515
Solyc03g032190.3	GO:0009055; GO:0051537
Solyc02g070040.1	GO:0016787
Solyc10g051140.2	GO:0003676
Solyc10g007830.1	GO:0000166
Solyc12g009650.2	GO:0005525
Solyc05g052570.3	GO:0003735; GO:0005622; GO:0005840; GO:0006412
Solyc05g009520.1	GO:0004672; GO:0006468
Solyc07g065230.1	GO:0031519
Solyc06g069550.1	GO:0008137; GO:0042773; GO:0055114
Solyc08g077940.2	GO:0005488
Solyc10g081040.1	GO:0003735; GO:0005840; GO:0006412
Solyc10g005300.3	GO:0004044; GO:0009113
Solyc12g010025.1	GO:0016301
Solyc11g005070.2	GO:0008289
Solyc09g008940.3	GO:0015095; GO:0015693; GO:0016021
Solyc01g080100.3	GO:0009055; GO:0015035; GO:0045454
Solyc12g007020.2	GO:0005515; GO:0008270
Solyc06g051010.1	GO:0007165
Solyc05g052560.1	GO:0003676; GO:0008270
Solyc07g006700.1	GO:0009055; GO:0015035; GO:0045454
Solyc01g089910.3	GO:0016747
Solyc10g006800.3	GO:0005515; GO:0008270
Solyc02g063020.2	GO:0005515; GO:0007165
Solyc01g087890.3	GO:0008080
Solyc06g053760.3	GO:0000155; GO:0007165
Solyc07g053350.3	GO:0008168
Solyc05g005170.3	GO:0000723; GO:0003678; GO:0006281
Solyc01g079980.3	GO:0003700; GO:0006355
Solyc10g078340.2	GO:0005576; GO:0019953
Solyc08g079850.3	GO:0004553; GO:0005975
Solyc05g014150.3	GO:0006614
Solyc08g016500.3	GO:0030001; GO:0046872
Solyc06g053810.3	GO:0005515
Solyc07g063850.3	GO:0003677
Solyc01g007890.2	GO:0008137; GO:0042773; GO:0055114
Solyc09g082370.3	GO:0004185; GO:0006508
Solyc01g067040.2	GO:0005096
Solyc09g090070.1	GO:0016491; GO:0046872; GO:0055114
Solyc10g080950.2	GO:0005975; GO:0016857
Solyc12g010700.2	GO:0004190; GO:0006508
Solyc04g071070.2	GO:0005515
Solyc12g013820.2	GO:0015743
Solyc01g095630.3	GO:0003824; GO:0016614; GO:0050660; GO:0055114
Solyc09g009860.1	GO:0046982
Solyc09g075550.3	GO:0004360; GO:1901137
Solyc10g008480.3	GO:0005525; GO:0007264
Solyc09g010080.3	GO:0000786; GO:0003677
Solyc06g043150.3	GO:0005515
Solyc03g119220.3	GO:0016705; GO:0055114
Solyc06g010250.3	GO:0004652; GO:0005634; GO:0043631
Solyc04g082430.3	GO:0003677; GO:0003899; GO:0006351
Solyc03g118810.1	GO:0008152; GO:0016597
Solyc04g006990.3	GO:0005506; GO:0006633; GO:0016491; GO:0055114
Solyc02g068610.2	GO:0005515
Solyc10g078280.3	GO:0000079; GO:0019901
Solyc03g083440.3	GO:0055114
Solyc09g082560.3	GO:0005515
Solyc03g114240.3	GO:0003723; GO:0003735; GO:0006412; GO:0015934
Solyc05g014140.2	GO:0005515
Solyc08g078640.2	GO:0005515
Solyc01g066910.3	GO:0006189
Solyc09g072800.3	GO:0005515
Solyc04g080600.3	GO:0008137; GO:0042773; GO:0055114
Solyc05g055680.3	GO:0005515
Solyc05g007000.3	GO:0003723
Solyc03g114380.3	GO:0003729; GO:0005849; GO:0006378
Solyc07g007260.3	GO:0004672; GO:0006468
Solyc03g121900.1	GO:0006355; GO:0043565
Solyc11g071290.2	GO:0004553; GO:0005975
Solyc08g066420.1	GO:0005524
Solyc05g054190.3	GO:0005515
Solyc07g005010.3	GO:0004672; GO:0005524; GO:0006468
Solyc08g067590.1	GO:0000786; GO:0003677
Solyc06g008890.3	GO:0046872
Solyc02g067440.3	GO:0004553; GO:0005975
Solyc01g006390.2	GO:0004386; GO:0005524
Solyc03g031920.3	GO:0004672; GO:0006468
Solyc11g069850.2	GO:0008270
Solyc05g009100.3	GO:0003677; GO:0006355
Solyc04g063350.3	GO:0008270
Solyc10g007800.3	GO:0017025
Solyc02g092160.3	GO:0003924
Solyc02g084950.3	GO:0016020
Solyc03g096870.3	GO:0005524
Solyc11g011160.1	GO:0005515
Solyc03g007230.3	GO:0000166; GO:0004826; GO:0005524; GO:0005737; GO:0006432
Solyc11g064800.2	GO:0004672; GO:0006468
Solyc05g052550.1	GO:0003676; GO:0008270
Solyc05g010590.3	GO:0003684; GO:0006281
Solyc12g049500.2	GO:0045454
Solyc02g067760.3	GO:0005543
Solyc07g056410.3	GO:0046982
Solyc03g098720.3	GO:0003871; GO:0008270; GO:0009086
Solyc02g085490.2	GO:0008270
Solyc00g052940.3	GO:0004722; GO:0006470
Solyc09g005730.3	GO:0005509; GO:0005544
Solyc02g063140.3	GO:0005515; GO:0008270
Solyc12g096780.2	GO:0003677; GO:0003918; GO:0005524; GO:0006265
Solyc01g095960.3	GO:0006629
Solyc09g065800.3	GO:0015979
Solyc08g081960.2	GO:0006457; GO:0051082
Solyc10g011960.2	GO:0005515; GO:0008270
Solyc02g063430.3	GO:0009611; GO:0009694; GO:0009864; GO:0080123
Solyc08g082770.3	GO:0006400; GO:0008176
Solyc01g091050.3	GO:0015986; GO:0045261; GO:0046933
Solyc01g086800.3	GO:0016021; GO:0022857; GO:0055085
Solyc07g056480.3	GO:0046982
Solyc12g009310.2	GO:0004144; GO:0045017
Solyc03g118740.3	GO:0005249; GO:0006813; GO:0016020
Solyc07g053410.3	GO:0046983
Solyc02g070210.3	GO:0005507
Solyc03g007130.3	GO:0005737; GO:0016627; GO:0055114
Solyc11g007930.1	GO:0005737; GO:0034227
Solyc11g011310.2	GO:0006355; GO:0006950
Solyc07g005540.1	GO:0008152; GO:0016758
Solyc10g049580.2	GO:0003700; GO:0006355
Solyc12g088410.2	GO:0004672; GO:0005524; GO:0006468
Solyc12g008580.2	GO:0005515
Solyc12g008520.2	GO:0003677
Solyc04g008890.3	GO:0000287; GO:0004012; GO:0005524; GO:0015914; GO:0016021
Solyc06g008360.3	GO:0016491; GO:0055114
Solyc03g006800.1	GO:0003824
Solyc08g062690.2	GO:0016757
Solyc09g007060.2	GO:0003774; GO:0005524; GO:0016459
Solyc05g012050.3	GO:0008270
Solyc04g063210.3	GO:0003677; GO:0008270
Solyc02g068060.3	GO:0008168
Solyc09g091540.1	GO:0016491; GO:0055114
Solyc01g090740.3	GO:0003677; GO:0005524; GO:0006281; GO:0006289; GO:0009381; GO:0009432
Solyc07g056400.1	GO:0003677
Solyc01g009570.3	GO:0005576
Solyc12g087940.2	GO:0004672; GO:0006468
Solyc02g085580.3	GO:0005524
Solyc06g083470.3	GO:0003677
Solyc05g014260.3	GO:0006614; GO:0008312; GO:0048500
Solyc01g096740.3	GO:0000398; GO:0005681
Solyc03g112460.3	GO:0005524
Solyc03g121550.3	GO:0005622; GO:0019843
Solyc03g031980.3	GO:0005524
Solyc00g009090.3	GO:0005509; GO:0009523; GO:0009654; GO:0015979; GO:0019898; GO:0042549
Solyc02g084570.3	GO:0003700; GO:0005634
Solyc02g067750.3	GO:0005488
Solyc08g074630.2	GO:0005515
Solyc01g106540.3	GO:0055114
Solyc04g025880.3	GO:0004525; GO:0006396
Solyc12g010030.2	GO:0004842; GO:0008270; GO:0016567
Solyc03g115560.3	GO:0003677
Solyc05g056470.1	GO:0004386; GO:0005524
Solyc04g008910.2	GO:0000287; GO:0004012; GO:0005524; GO:0015914; GO:0016021
Solyc06g062880.2	GO:0003676; GO:0006139; GO:0008408
Solyc09g014940.2	GO:0005509; GO:0009523; GO:0009654; GO:0015979; GO:0019898
Solyc06g007460.3	GO:0003676; GO:0008270
Solyc04g008915.1	GO:0000166
Solyc04g076220.3	GO:0004525; GO:0006396
Solyc01g005470.3	GO:0005524
Solyc11g044840.2	GO:0005089
Solyc08g067180.3	GO:0005524
Solyc07g064050.3	GO:0020037
Solyc06g073640.3	GO:0008152; GO:0016758
Solyc01g091010.3	GO:0005524
Solyc03g006780.2	GO:0006457; GO:0016272; GO:0051082
Solyc01g068320.2	GO:0016491; GO:0055114
Solyc07g007190.3	GO:0005509
Solyc02g024070.3	GO:0008137; GO:0055114
Solyc08g022240.1	GO:0005515; GO:0008270
Solyc01g096730.2	GO:0006952; GO:0009607
Solyc01g104230.3	GO:0005509; GO:0016020
Solyc09g011960.2	GO:0003677; GO:0008270
Solyc03g083720.1	GO:0005524
Solyc05g005580.3	GO:0005506; GO:0016705; GO:0020037; GO:0055114
Solyc10g078495.1	GO:0003676
Solyc03g118425.1	GO:0004672; GO:0005524; GO:0006468
Solyc07g045120.2	GO:0005524
Solyc03g118310.3	GO:0008152; GO:0016597
Solyc10g052470.1	GO:0005515
Solyc07g007620.3	GO:0003677
Solyc03g118770.3	GO:0006508; GO:0008234
Solyc06g073760.3	GO:0008152; GO:0016627; GO:0050660; GO:0055114
Solyc03g093460.3	GO:0003700; GO:0006355
Solyc03g121970.1	GO:0055085
Solyc01g007810.1	GO:0006355
Solyc08g078520.3	GO:0005525
Solyc09g089520.3	GO:0016491; GO:0055114
Solyc11g010920.2	GO:0016779
Solyc08g008360.2	GO:0004190; GO:0006508
Solyc09g083440.3	GO:0004367; GO:0005975; GO:0055114
Solyc05g005150.1	GO:0005515
Solyc06g008980.3	GO:0004553; GO:0005975
Solyc02g080330.3	GO:0004601; GO:0055114
Solyc04g077490.3	GO:0046983
Solyc08g006790.3	GO:0008270
Solyc05g006160.3	GO:0015018; GO:0016020
Solyc01g006320.3	GO:0005787; GO:0006465; GO:0008233; GO:0016021
Solyc02g079330.3	GO:0008270
Solyc08g082070.3	GO:0004190; GO:0006508
Solyc03g119590.1	GO:0071705
Solyc06g007170.3	GO:0016788
Solyc04g072310.3	GO:0003700; GO:0005634
Solyc09g007260.3	GO:0005515
Solyc12g005400.2	GO:0005515
Solyc04g072450.3	GO:0003677; GO:0003918; GO:0005524; GO:0006265
Solyc12g099400.2	GO:0008270
Solyc01g111980.3	GO:0005975
Solyc06g054310.1	GO:0006355; GO:0009584; GO:0018298
Solyc12g042580.2	GO:0007165
Solyc12g044320.2	GO:0016491
Solyc09g011860.3	GO:0003677; GO:0008270
Solyc07g006170.3	GO:0003677
Solyc04g080620.3	GO:0016655; GO:0055114
Solyc07g054220.1	GO:0006777; GO:0046872
Solyc08g081450.3	GO:0008270
Solyc10g005360.3	GO:0000166
Solyc05g015840.3	GO:0008152; GO:0016758
Solyc01g088160.3	GO:0003677
Solyc10g011880.1	GO:0005515
Solyc09g007920.3	GO:0008168; GO:0055114
Solyc06g007180.3	GO:0003676
Solyc12g008530.2	GO:0005515
Solyc02g093180.3	GO:0004672; GO:0006468
Solyc03g111290.1	GO:0005515
Solyc06g053625.1	GO:0006355
Solyc01g073970.3	GO:0003700; GO:0006355
Solyc07g052980.3	GO:0005516
Solyc01g094870.2	GO:0000156; GO:0000160; GO:0003677; GO:0006817
Solyc05g046320.1	GO:0005515
Solyc09g074470.3	GO:0003723; GO:0003735; GO:0006412; GO:0015934
Solyc03g097920.1	GO:0003677
Solyc09g075420.3	GO:0004252; GO:0006508
Solyc02g067680.1	GO:0046872
Solyc01g111275.1	GO:0004177; GO:0005622; GO:0006508
Solyc03g113720.3	GO:0016021; GO:0016485
Solyc07g056000.2	GO:0003677
Solyc06g054540.3	GO:0003824; GO:0008152
Solyc02g064980.1	GO:0005524
Solyc08g036660.3	GO:0003735; GO:0005622; GO:0005840; GO:0006412
Solyc12g005430.1	GO:0003700; GO:0006355; GO:0043565
Solyc05g008370.1	GO:0000166
Solyc01g010600.3	GO:0003951; GO:0006741; GO:0008152
Solyc01g097060.3	GO:0004601; GO:0055114
Solyc06g072810.3	GO:0005515
Solyc11g010620.2	GO:0047262
Solyc03g007240.3	GO:0000287; GO:0003723; GO:0005524; GO:0006432
Solyc01g097070.3	GO:0005744; GO:0030150
Solyc01g010970.3	GO:0003951; GO:0008152; GO:0019674
Solyc02g078100.3	GO:0008168
Solyc02g069210.3	GO:0008168
Solyc12g009000.1	GO:0004144; GO:0045017
Solyc01g096750.1	GO:0008239; GO:0070009
Solyc05g011970.3	GO:0004842; GO:0016567
Solyc06g076930.2	GO:0003777; GO:0005524; GO:0007018; GO:0008017
Solyc00g009040.3	GO:0003723
Solyc04g058170.1	GO:0005515
Solyc07g053330.2	GO:0003677
Solyc02g078050.3	GO:0003682
Solyc01g096810.3	GO:0008658
Solyc12g013960.2	GO:0016772
Solyc08g005440.3	GO:0003883; GO:0006221
Solyc04g054800.3	GO:0004525; GO:0006396
Solyc09g091700.3	GO:0005515
Solyc02g067310.3	GO:0000226; GO:0000910; GO:0008017
Solyc02g091500.1	GO:0000289; GO:0004535
Solyc02g081190.3	GO:0055114
Solyc04g058000.2	GO:0009055
Solyc02g069110.3	GO:0007010; GO:0008017
Solyc07g006380.3	GO:0031491; GO:0043044
Solyc01g073910.3	GO:0051287; GO:0055114
Solyc09g089540.3	GO:0003824; GO:0016614; GO:0050660; GO:0055114
Solyc04g082840.3	GO:0016021
Solyc08g060970.3	GO:0005515
Solyc06g075780.2	GO:0006355
Solyc07g042580.3	GO:0004857
Solyc12g009220.2	GO:0003899; GO:0006351; GO:0032549
Solyc00g050430.3	GO:0004722; GO:0006470
Solyc04g064760.3	GO:0004842; GO:0016567
Solyc01g109120.3	GO:0003779
Solyc01g095620.3	GO:0016310; GO:0016772
Solyc02g089550.3	GO:0005488
Solyc09g072700.3	GO:0008168
Solyc04g080550.3	GO:0009522; GO:0015979; GO:0016021; GO:0046872
Solyc02g068400.3	GO:0003942; GO:0005737; GO:0008652; GO:0016620; GO:0046983; GO:0055114
Solyc03g121060.3	GO:0016021; GO:0022857; GO:0055085
Solyc07g006480.3	GO:0005524
Solyc02g079920.3	GO:0004601; GO:0006979; GO:0020037; GO:0055114
Solyc11g072840.1	GO:0016788
Solyc11g071730.2	GO:0005515
Solyc05g055880.3	GO:0003777; GO:0005524; GO:0007018
Solyc11g072860.2	GO:0003700; GO:0006355; GO:0043565
Solyc10g008210.3	GO:0016705; GO:0055114
Solyc10g078370.2	GO:0046872
Solyc11g071640.2	GO:0005975
Solyc03g093310.3	GO:0003677
Solyc02g092250.3	GO:0003824; GO:0008152
Solyc01g106750.2	GO:0016787
Solyc10g083510.2	GO:0003824; GO:0005737; GO:0009072
Solyc03g120980.3	GO:0005215; GO:0016021; GO:0055085
Solyc12g019320.2	GO:0005506; GO:0016705; GO:0020037; GO:0055114
Solyc09g057680.3	GO:0005506; GO:0016705; GO:0020037; GO:0055114
Solyc08g082890.3	GO:0016788
Solyc06g068460.3	GO:0010215; GO:0016049; GO:0031225
Solyc02g038690.1	GO:0003723
Solyc03g122340.3	GO:0004672; GO:0006468
Solyc02g070890.3	GO:0003676
Solyc04g008850.1	GO:0000166; GO:0046872
Solyc04g078140.3	GO:0003735; GO:0005622; GO:0005840; GO:0006414
Solyc02g071930.1	GO:0005515
Solyc02g014740.2	GO:0008152; GO:0016758
Solyc06g082350.3	GO:0003824
Solyc03g007780.1	GO:0004075; GO:0005524
Solyc05g052700.3	GO:0005484; GO:0006886; GO:0016020
Solyc03g120870.3	GO:0046872
Solyc08g078340.3	GO:0008168
Solyc02g085430.3	GO:0004177; GO:0006508; GO:0008235
Solyc01g110370.3	GO:0005576
Solyc03g098730.1	GO:0003824; GO:0016614; GO:0050660; GO:0055114
Solyc11g006040.2	GO:0005515
Solyc10g084970.2	GO:0003777; GO:0005524; GO:0007018; GO:0008017
Solyc06g064840.3	GO:0003677; GO:0046983
Solyc07g062070.3	GO:0004553; GO:0005975
Solyc04g064550.1	GO:0046983
Solyc03g117870.3	GO:0000413; GO:0003755; GO:0006457
Solyc02g085500.3	GO:0004672; GO:0005524; GO:0006468
Solyc06g007770.3	GO:0003824
Solyc10g078360.2	GO:0005576; GO:0019953
Solyc09g015770.3	GO:0015986; GO:0016020; GO:0046933
Solyc06g051960.3	GO:0016788
Solyc06g073750.3	GO:0003995; GO:0055114
Solyc04g077980.1	GO:0003677
Solyc06g066170.3	GO:0003677
Solyc08g067640.1	GO:0005524; GO:0016887
Solyc01g091920.2	GO:0004764; GO:0019632; GO:0050661; GO:0055114
Solyc01g105500.3	GO:0016021; GO:0055085
Solyc05g006220.3	GO:0015018; GO:0016020
Solyc10g079750.2	GO:0009733
Solyc04g080790.3	GO:0003677; GO:0003899; GO:0006351
Solyc08g083210.3	GO:0004616; GO:0055114
Solyc07g053700.3	GO:0042626
Solyc04g071075.1	GO:0008168
Solyc09g065100.2	GO:0003677; GO:0003918; GO:0005524; GO:0006265
Solyc03g063650.1	GO:0005506; GO:0016705; GO:0020037; GO:0055114
Solyc01g098720.3	GO:0005524; GO:0006605; GO:0006886
Solyc10g085670.2	GO:0003700; GO:0006355
Solyc09g082860.3	GO:0005524
Solyc06g048600.3	GO:0003676
Solyc02g087980.3	GO:0008152
Solyc10g008910.1	GO:0016757
Solyc02g080400.2	GO:0003676; GO:0005524
Solyc02g090315.1	GO:0004672
Solyc07g005840.2	GO:0008270
Solyc03g123590.3	GO:0030570
Solyc07g053550.2	GO:0008152; GO:0016787
Solyc02g064960.3	GO:0004672; GO:0006468
Solyc04g007620.1	GO:0006810; GO:0016021
Solyc02g081250.2	GO:0004672; GO:0005524; GO:0006468
Solyc09g084490.3	GO:0003824; GO:0016614; GO:0050660; GO:0055114
Solyc08g062680.1	GO:0005488
Solyc02g062690.3	GO:0005524; GO:0016887
Solyc10g083530.2	GO:0005515
Solyc02g084890.2	GO:0003676; GO:0005524
Solyc04g050440.3	GO:0004525; GO:0006396
Solyc02g093250.3	GO:0004672; GO:0005524; GO:0006468
Solyc01g007260.3	GO:0006306
Solyc09g082500.3	GO:0003677; GO:0046983
Solyc03g034020.3	GO:0005524
Solyc04g083160.2	GO:0003824
Solyc11g010250.1	GO:0003700; GO:0005634; GO:0006355
Solyc07g007860.1	GO:0046872
Solyc07g045350.3	GO:0005524
Solyc02g062100.3	GO:0008080
Solyc08g066050.3	GO:0003824
Solyc07g041920.3	GO:0043169
Solyc06g084820.2	GO:0005515
Solyc02g084240.3	GO:0004096; GO:0020037; GO:0055114
Solyc02g084590.3	GO:0008152; GO:0016758
Solyc11g008830.2	GO:0005509
Solyc09g075020.3	GO:0004252; GO:0006508
Solyc01g101130.3	GO:0003677
Solyc10g008490.3	GO:0005515
Solyc02g081690.1	GO:0005524
Solyc12g056450.2	GO:0003755; GO:0006457
Solyc09g010400.3	GO:0000786; GO:0003677
Solyc02g014750.1	GO:0008146
Solyc01g081600.3	GO:0005215; GO:0016021; GO:0055085
Solyc03g113490.3	GO:0000289; GO:0004535
Solyc11g071550.2	GO:0004553; GO:0005975
Solyc09g075900.3	GO:0008080
Solyc02g069560.3	GO:0016787
Solyc07g017220.3	GO:0004784; GO:0055114
Solyc04g008290.3	GO:0005515
Solyc03g098760.2	GO:0009055; GO:0051536
Solyc08g077020.1	GO:0005515
Solyc09g098440.3	GO:0045550; GO:0051188; GO:0055114
Solyc10g084940.2	GO:0003777; GO:0005524; GO:0007018
Solyc12g007080.2	GO:0005515; GO:0008270
Solyc09g097865.1	GO:0045735
Solyc04g079250.3	GO:0008137; GO:0055114
Solyc04g072940.3	GO:0003700; GO:0006355
Solyc04g074990.3	GO:0003700; GO:0006355
Solyc01g096840.3	GO:0046872
Solyc04g074950.3	GO:0003700
Solyc12g097000.2	GO:0004672; GO:0005524; GO:0006468
Solyc05g009650.3	GO:0006353
Solyc08g036640.3	GO:0003824
Solyc02g090430.3	GO:0004672; GO:0006468
Solyc10g006430.2	GO:0003676
Solyc02g090400.3	GO:0004672; GO:0005524; GO:0006468
Solyc02g024050.3	GO:0005975
Solyc08g014280.3	GO:0006470; GO:0008138
Solyc02g087440.3	GO:0005515
Solyc00g008570.2	GO:0008171
Solyc04g079125.1	GO:0003735; GO:0005622; GO:0005840; GO:0006412
Solyc05g005710.3	GO:0006412
Solyc07g007590.1	GO:0000287; GO:0003924; GO:0005525
Solyc03g119980.3	GO:0019904
Solyc09g008530.2	GO:0003899; GO:0005634; GO:0006351
Solyc01g092950.3	GO:0008152; GO:0016758
Solyc01g009340.3	GO:0046872
Solyc04g078190.3	GO:0016491; GO:0055114
Solyc10g050470.2	GO:0003677
Solyc06g083490.3	GO:0006511; GO:0031625
Solyc05g056140.3	GO:0003950
Solyc02g093090.1	GO:0004672; GO:0005524; GO:0006468
Solyc02g088830.3	GO:0005488
Solyc04g074770.2	GO:0004672; GO:0005524; GO:0006468
Solyc11g066350.2	GO:0004672; GO:0005524; GO:0006468
Solyc07g062810.3	GO:0003677
Solyc07g063590.3	GO:0005618; GO:0030599; GO:0042545
Solyc01g108400.3	GO:0005515; GO:0008270
Solyc04g016160.3	GO:0004525; GO:0006396
Solyc04g071500.3	GO:0004525; GO:0006396
Solyc02g067610.1	GO:0010411; GO:0016762; GO:0042546
Solyc03g093110.3	GO:0004672; GO:0006468
Solyc10g006000.3	GO:0005515; GO:0008270
Solyc09g059240.3	GO:0016705; GO:0055114
Solyc03g111300.1	GO:0016787
Solyc05g009480.1	GO:0005737; GO:0042026
Solyc04g078310.3	GO:0016491; GO:0055114
Solyc07g055730.3	GO:0008418
Solyc05g053900.3	GO:0009579
Solyc08g008610.3	GO:0004190; GO:0006508
Solyc11g010850.2	GO:0051287; GO:0055114
Solyc11g061960.2	GO:0006535
Solyc03g093130.3	GO:0004672; GO:0006468
Solyc01g086820.3	GO:0008721; GO:0030170; GO:0046416
Solyc09g091880.3	GO:0030145
Solyc03g120360.1	GO:0005975
Solyc08g081480.3	GO:0055114
Solyc01g107260.3	GO:0004140; GO:0005524; GO:0015937
